end,end 2,end 3,end 4,end 5,end 6
Trains from Durgapur,,,,,
(Durgapur to  train)  (Durgapur to  train),howrah,asansol,,,
Code,Train Name,Arrives,Departs,Stop time,M	T	W	T	F	S	S
09310,Sdah Indb Special,22:12,22:14,2 min,N	N	N	N	N	N	Y
09309,Indb Sealdah Special,06:45,06:50,5 min,N	N	N	N	Y	N	N
15236,Dbg Hwh Express,00:03,00:05,2 min,N	N	N	N	Y	N	N
15234,Dbg Koaa Express,00:03,00:05,2 min,N	N	Y	N	N	N	Y
03174,Bny Sdah Special,13:03,13:05,2 min,Y	N	N	N	N	N	N
12988,Aii Sdah Express,12:51,12:53,2 min,Y	Y	Y	Y	Y	Y	Y
19414,Koaa Adi Express,15:29,15:31,2 min,N	N	N	N	N	Y	N
12987,Sdah Ajmer Express,01:23,01:25,2 min,Y	Y	Y	Y	Y	Y	Y
12371,Hwh Jsm Express,10:17,10:19,2 min,Y	N	N	N	N	N	N
13156,Mithilanchal Express,23:25,23:27,2 min,Y	N	N	N	Y	N	N
13025,Hwh Bpl Express,15:29,15:31,2 min,Y	N	N	N	N	N	N
